,weight,CONS_Total,vatax,table_row
6940,4547.623343457116,147881.04455601433,7212.536266868338,1
9399,5442.816405570072,147918.77427263916,11587.01064429481,1
14084,541.1050437126495,148186.5723126598,2352.442824319911,1
13568,517.7007819861022,148416.27396478294,2402.96934814016,1
4822,7785.998859758548,148660.97475855818,8159.366600533701,1
1211,598.8518860416053,149352.43160897645,9688.926443936518,1
9438,5442.816405570072,150754.00474319299,7534.061280726449,1
9700,5442.816405570072,151071.4818403849,10396.194879508192,1
5429,1324.2290027865074,151227.84337887412,6556.815528432758,1
7641,814.1182794629115,152064.05805509933,7147.655559230057,1
7234,814.1182794629115,152095.6815437283,9587.67275145364,1
6927,1324.2290027865074,152503.41835359117,9537.383779671583,1
5639,1324.2290027865074,153342.49682774517,8482.293180253802,1
13117,2305.327641308141,153564.96202047693,2042.4043913049763,1
292,598.8518860416053,153713.523327908,4204.308519241766,1
8945,3272.1324122540395,154518.6264193841,7748.543583035356,1
10593,5442.816405570072,154582.89362465419,8393.921531006752,1
8539,3272.132160492847,155970.26769076486,4594.06411466918,1
3411,6939.214439708846,156285.00158896518,9828.623290868949,2
7801,814.1182794629115,156715.90043850156,4885.901304074036,2
7131,4547.623343457116,157641.5515240438,6128.768842646074,2
6046,4547.623343457116,158630.28849821046,4250.214877863452,2
9897,5442.816405570072,159764.65317680492,9901.988964726008,2
9567,5442.816405570072,159801.9290865959,5142.34152150901,2
9157,5442.816405570072,160053.11996242736,10380.582256715914,2
5646,1324.2290027865074,160567.09293620713,6821.58127181397,2
5126,7785.998859758548,160579.87979395926,15299.68578962213,2
11422,4800.8665280564455,161039.03609563407,6182.354260629038,2
7219,814.1182794629115,162067.9915319636,13198.385621936046,2
10830,4800.8665280564455,162813.6636569218,8187.639159206163,2
6833,4547.623721098905,162897.8091995653,5271.294046546791,2
904,2307.8033349930224,162924.77543681255,6831.540021719011,2
13554,517.7007819861022,163292.00382497226,2638.1195548101887,2
11607,4800.865898653466,164916.02425318345,4236.537235765521,2
1744,2307.802957351234,165011.84335213428,9243.543793185214,2
14192,2305.327641308141,165375.78195616158,2527.408062461873,2
8264,3272.132160492847,165916.04101144226,4790.1733096948055,2
6177,4547.623721098905,165944.5626489396,11890.962690528599,2
13566,517.7007819861022,166365.14538238687,2425.3515398402074,2
9699,5442.816405570072,166374.49927989492,8097.035072957324,2
6184,4547.623721098905,166594.7216171852,5139.3164904951445,2
11960,4800.865898653466,166830.92678377262,7804.61090381296,2
2256,6939.214439708846,168013.67276137398,10425.107405596533,2
12319,1090.7787796066118,168309.1522721746,7250.549527774147,2
11145,4800.865898653466,168635.02741637308,11702.424535892667,2
11012,1079.74056188963,169061.18560828216,7380.889562908442,2
9394,5442.816405570072,169346.79432357167,5697.569781172779,2
11121,1079.7404360090336,169666.71420184633,10680.15281025028,2
5384,7785.998859758548,169820.50373037122,9681.183521881429,2
8474,3272.1324122540395,170513.1025202136,2553.004509175366,2
10822,4800.8665280564455,170652.51578313592,7094.513528761419,2
10860,4800.8665280564455,171194.518179144,9950.138178290597,2
11316,4800.865898653466,172237.4596886084,8185.2992573109495,2
2150,6939.214439708846,172642.44547590334,11052.325134529048,2
11775,4800.865898653466,173076.7608230514,5992.7933973094705,2
10826,4800.8665280564455,173287.8184347084,8604.367578616046,2
10864,4800.8665280564455,173335.2429284096,9908.074642717169,2
8356,3272.132160492847,173652.88107568445,2824.7345079548263,2
